('x','y','z','intensity','index')
(0.76861405, 0.14940344, 0., 3108., 11)
(0.7746929, 0.16466606, 0., 2698., 12)
(0.7590343, 0.17523687, 0., 2791., 13)
(0.76265246, 0.19015062, 0., 2694., 14)
(0.7669451, 0.20550233, 0., 2576., 15)
(0.7656005, -0.24875872, 0., 2724., 342)
(0.76982534, -0.23535927, 0., 2731., 343)
(0.75362915, -0.21609971, 0., 2629., 344)
(0.7563199, -0.20265535, 0., 2525., 345)
(0.76071185, -0.1896668, 0., 2889., 346)
(0.7531881, -0.17388721, 0., 2546., 347)
(0.7502392, -0.15946831, 0., 2507., 348)
(0.75683457, -0.14711377, 0., 2531., 349)
(0.7454995, -0.13145171, 0., 2853., 350)
(0.7585446, -0.12014171, 0., 2714., 351)
(0.76151615, -0.10702415, 0., 2996., 352)
(0.7722009, -0.09481438, 0., 2601., 353)
(0.7100886, -0.07463335, 0., 2271., 354)
(0.7630851, -0.06676133, 0., 2705., 355)
(0.7701195, -0.05385204, 0., 3738., 356)
(0.7779324, -0.04076975, 0., 1875., 357)
(0.7635346, -0.02666325, 0., 2550., 358)
(0.7708826, -0.01345584, 0., 2098., 359)
(0.777, 0., 0., 2686., 0)
(0.73788756, 0.01287988, 0., 2423., 1)
(0.7275565, 0.02540683, 0., 1261., 2)
(0.7699434, 0.04035102, 0., 2558., 3)
(0.6434288, 0.04499292, 0., 1042., 4)
(0.7909786, 0.06920166, 0., 2159., 5)
(0.80456823, 0.08456353, 0., 3844., 6)
(0.74937236, 0.09201135, 0., 565., 7)
(0.76448697, 0.10744163, 0., 2703., 8)
(0.7802738, 0.12358323, 0., 2848., 9)
(0.77898294, 0.13735572, 0., 3066., 10)
(0.7705774, 0.14978507, 0., 2358., 11)
(0.7707803, 0.16383441, 0., 2949., 12)
(0.7717011, 0.17816123, 0., 2737., 13)
(0.7723554, 0.19256982, 0., 2845., 14)
(0.81427544, 0.21818446, 0., 4964., 15)
(0.74848145, -0.24319641, 0., 2444., 342)
(0.7526118, -0.23009656, 0., 3104., 343)
(0.7430553, -0.21306771, 0., 2808., 344)
(0.7447288, -0.19954953, 0., 2783., 345)
(0.73839504, -0.1841026, 0., 2450., 346)
(0.7453931, -0.1720876, 0., 2759., 347)
(0.7561081, -0.16071577, 0., 2601., 348)
(0.7617427, -0.14806782, 0., 2443., 349)
(0.7612564, -0.13423008, 0., 3090., 350)
(0.7703969, -0.12201892, 0., 2811., 351)
(0.7743896, -0.1088334, 0., 2664., 352)
(0.76227546, -0.09359569, 0., 2377., 353)
(0.7120777, -0.07484242, 0., 1933., 354)
(0.76408136, -0.06684849, 0., 2508., 355)
(0.7601438, -0.05315447, 0., 3448., 356)
(0.7569612, -0.03967069, 0., 1739., 357)
(0.7465449, -0.02606996, 0., 2636., 358)
(0.7488859, -0.01307189, 0., 1822., 359)
(0.75882024, 0.07975522, 0., 2520., 6)
(0.8099176, 0.09944538, 0., 1565., 7)
(0.8179614, 0.11495697, 0., 605., 8)
(0.76052, 0.12045453, 0., 2299., 9)
(0.7612564, 0.13423005, 0., 2648., 10)
(0.76272434, 0.1482586, 0., 2719., 11)
(0.76882404, 0.16341859, 0., 2813., 12)
(0.78241915, 0.18063569, 0., 2682., 13)
(0.7772069, 0.19377944, 0., 2652., 14)
(0.77177477, 0.20679642, 0., 2894., 15)
(0.7465794, -0.24257839, 0., 2613., 342)
(0.7506992, -0.22951183, 0., 2503., 343)
(0.7430553, -0.21306771, 0., 2453., 344)
(0.74762654, -0.20032597, 0., 2704., 345)
(0.7519792, -0.1874895, 0., 3122., 346)
(0.7453931, -0.1720876, 0., 2756., 347)
(0.7482829, -0.15905248, 0., 2523., 348)
(0.7558529, -0.14692296, 0., 2626., 349)
(0.7592868, -0.13388279, 0., 2983., 350)
(0.7634831, -0.12092388, 0., 2533., 351)
(0.74963295, -0.10535408, 0., 2632., 352)
(0.74540216, -0.09152391, 0., 2741., 353)
(0.7419133, -0.07797827, 0., 1987., 354)
